DY
6216
8
mn1;mn2;mn3;mn4;mv1;mv2;mv3;mv4
218;52.2;243.57;0.07;4.38;80.98;642.92;0.27;3.27
219;48.67;235.31;0.09;4.02;80.44;744.54;0.26;3.49
220;51.93;394.59;0.07;4.53;85.42;1784.75;0.37;1.81
221;54.58;356.95;0.06;4.56;41.04;2282.31;0.26;3.59
222;55.09;307.71;0.09;3.96;80.1;308.89;0.03;5.57
223;47.91;373.62;0.08;3.95;89.04;1705.85;0.3;2.71
224;53.38;195.75;0.07;4.11;72.03;357.87;0.5;1.01
225;62.09;180.36;0.08;4.06;43.38;2347.83;0.33;1.96
226;54.9;213.02;0.04;4.83;48.81;2258.74;0.26;3.48
227;74.71;447.81;0.1;3.8;37.08;2744.81;0.26;3.54
228;57.21;152.6;0.08;4.07;44.46;1704.47;0.34;1.91
229;63.07;202.92;0.07;4.26;43.5;2090.67;0.36;1.85
230;50.31;147.27;0.07;4.33;92.47;923.71;0.44;1.28
231;54.9;255.88;0.04;4.78;35.45;1946.21;0.26;3.5
232;69.39;240.8;0.07;4.36;48.0;3304.84;0.29;2.95
233;60.57;104.63;0.09;3.91;46.74;1320.99;0.26;3.49
234;57.3;237.66;0.07;4.24;75.67;553.99;0.29;2.58
235;50.92;212.15;0.09;4.04;29.33;1138.39;0.28;2.81
236;59.34;319.25;0.07;4.38;45.04;2366.5;0.34;2.17
237;54.98;271.18;0.07;4.29;41.45;2033.09;0.26;3.92
238;56.42;322.33;0.05;4.67;42.71;3484.65;0.37;1.76
239;57.6;187.05;0.04;4.93;53.06;2333.89;0.34;2.03
240;55.84;291.4;0.05;4.76;47.64;2330.77;0.26;3.45
241;55.2;288.58;0.06;4.62;46.35;1961.27;0.26;3.65
242;59.8;123.63;0.05;4.68;28.58;835.27;0.26;3.68
243;53.4;280.74;0.07;4.48;47.26;2198.12;0.27;3.4
244;51.72;298.2;0.05;4.8;57.81;3638.94;0.37;1.72
245;54.36;281.4;0.13;3.82;109.62;1149.45;0.4;2.61
246;55.69;257.17;0.04;4.97;51.26;2708.87;0.29;2.6
247;54.24;237.51;0.06;4.53;52.18;2441.05;0.26;3.32
248;54.66;365.47;0.06;4.64;104.5;408.19;0.16;3.74
249;55.56;527.65;0.09;3.89;51.34;3365.06;0.26;3.87
250;65.32;242.07;0.07;4.08;52.65;4092.33;0.42;1.36
251;57.63;243.12;0.07;4.5;44.86;1812.41;0.26;3.5
252;59.62;373.67;0.07;4.25;38.2;2400.85;0.26;3.63
253;59.51;306.49;0.08;3.94;30.08;2144.85;0.26;3.65
254;47.74;210.36;0.07;4.27;40.66;2530.13;0.26;3.86
255;51.78;305.08;0.06;4.4;79.68;850.49;0.26;3.44
256;58.88;363.75;0.05;4.7;76.48;827.05;0.27;3.66
257;56.67;388.3;0.06;4.76;55.0;4334.82;0.5;1.0
258;54.35;362.74;0.05;4.66;40.19;2683.47;0.25;4.07
259;60.36;327.37;0.07;4.34;45.48;2344.96;0.27;3.12
260;54.41;178.19;0.06;4.42;43.92;1415.23;0.27;3.39
261;51.39;293.14;0.06;4.49;50.59;2684.62;0.32;1.94
262;57.33;406.89;0.07;4.48;92.7;213.74;0.03;5.59
263;56.14;510.88;0.08;4.22;78.83;1269.29;0.28;3.44
264;57.5;430.72;0.09;4.04;46.09;2742.0;0.31;2.25
265;54.82;252.64;0.12;3.22;46.22;1500.17;0.27;3.33
266;56.84;395.61;0.06;4.37;76.77;730.89;0.27;3.12
267;57.88;299.19;0.04;5.07;102.71;1671.47;0.47;1.23
268;55.66;239.64;0.06;4.72;44.77;1707.37;0.27;3.29
269;54.16;286.12;0.11;3.68;47.95;2332.52;0.28;2.83
270;51.09;198.24;0.05;4.84;39.01;1728.67;0.26;3.91
271;53.6;383.25;0.1;4.0;120.14;608.41;0.62;0.82
272;58.26;231.89;0.04;5.07;63.5;4194.27;0.5;1.0
273;54.36;354.79;0.08;4.16;68.07;2377.13;0.3;2.45
274;53.55;227.02;0.06;4.64;37.85;1681.58;0.27;3.26
275;53.41;246.01;0.06;4.51;49.85;2225.79;0.27;3.13
276;55.93;308.96;0.06;4.62;63.5;4988.56;0.5;1.0
277;55.45;304.18;0.12;4.08;45.81;1469.1;0.28;3.05
278;52.67;474.1;0.06;4.51;43.38;3038.74;0.25;3.55
279;56.16;322.73;0.06;4.69;45.24;2429.22;0.26;3.55
280;56.23;488.13;0.09;4.13;38.89;2586.62;0.26;3.7
281;50.0;291.75;0.07;4.44;52.42;2852.78;0.28;3.14
282;53.99;465.36;0.03;5.32;41.56;3766.17;0.26;3.92
283;56.25;294.84;0.04;4.96;42.9;2916.01;0.26;3.71
284;59.11;380.06;0.09;4.2;37.62;2671.68;0.26;3.52
285;56.18;353.81;0.08;4.09;47.71;4176.53;0.32;2.43
286;59.42;291.28;0.07;4.11;40.83;2082.74;0.28;3.08
287;56.98;125.56;0.07;4.12;43.9;1475.61;0.25;4.02
288;55.24;393.76;0.08;4.17;43.01;2369.78;0.38;1.56
289;58.52;484.78;0.06;4.88;73.28;640.48;0.27;3.24
290;56.67;494.16;0.1;4.13;49.96;2318.97;0.31;2.16
291;49.44;618.71;0.09;3.81;46.47;2891.16;0.38;1.74
292;60.3;398.37;0.07;4.46;40.4;1611.62;0.26;3.59
293;54.58;172.79;0.05;4.82;89.23;336.76;0.04;5.3
294;51.4;285.48;0.09;3.85;57.3;2263.05;0.29;3.06
295;60.34;369.76;0.05;4.94;86.4;277.04;0.06;4.85
296;56.24;294.85;0.04;4.96;74.89;776.3;0.26;3.68
297;54.34;185.01;0.05;4.63;46.01;2198.62;0.26;3.39
298;57.25;456.12;0.07;4.36;42.68;3225.77;0.26;3.86
299;51.24;378.4;0.07;4.43;58.74;2411.41;0.15;4.12
300;64.05;377.61;0.04;5.26;39.42;1988.64;0.26;3.68
301;56.64;242.08;0.06;4.41;34.37;1684.33;0.26;3.68
302;55.07;226.02;0.05;4.9;55.05;2991.25;0.27;3.6
303;60.1;337.11;0.07;4.33;39.63;2855.69;0.27;3.21
304;58.33;105.95;0.1;3.64;72.0;356.61;0.5;1.0
305;52.59;270.75;0.09;4.38;48.39;2025.34;0.27;3.4
306;51.94;254.14;0.1;3.77;48.04;2833.29;0.44;1.48
307;54.24;384.11;0.07;4.39;52.19;3783.69;0.27;3.12
308;59.46;270.97;0.05;4.88;87.08;325.84;0.01;6.4
309;47.35;344.61;0.08;4.03;67.6;1722.63;0.22;2.81
310;50.09;255.75;0.07;4.14;54.86;3188.24;0.35;1.87
311;52.7;64.52;0.08;3.98;64.0;0.0;1.0;0.0
312;49.68;260.42;0.08;4.14;75.43;554.75;0.31;3.31
313;65.11;392.72;0.16;3.78;74.86;452.99;0.27;3.17
314;51.58;337.77;0.06;4.41;55.17;3561.86;0.3;2.49
315;58.98;165.24;0.05;4.66;74.39;419.18;0.26;3.81
316;57.66;202.34;0.06;4.35;48.57;2037.7;0.27;3.04
317;55.97;265.54;0.07;4.31;36.74;2050.83;0.27;3.26
318;54.81;363.75;0.1;4.17;78.4;1009.16;0.36;2.92
319;58.05;481.45;0.06;4.58;50.96;3718.49;0.26;3.72
320;57.23;316.07;0.04;5.11;44.14;2900.98;0.25;4.1
321;59.07;356.69;0.05;4.87;53.96;3068.9;0.29;2.93
322;58.67;354.58;0.04;5.15;55.47;3919.48;0.33;2.33
323;58.48;311.21;0.06;4.75;47.29;3446.36;0.28;3.37
324;60.58;393.82;0.07;4.35;70.79;358.23;0.26;4.11
325;56.63;385.32;0.07;4.47;37.16;1949.12;0.27;3.24
326;58.07;335.41;0.05;4.91;76.82;750.51;0.27;3.57
327;58.12;514.97;0.06;4.54;35.13;2283.87;0.25;3.99
328;59.37;187.17;0.05;4.62;92.89;231.77;0.02;5.81
329;64.75;240.6;0.05;4.8;47.06;3162.23;0.39;1.74
330;54.81;373.35;0.07;4.38;49.28;3495.59;0.28;3.16
331;58.51;538.96;0.04;5.09;52.45;4524.93;0.27;3.51
332;55.82;253.73;0.07;4.5;86.38;365.6;0.03;5.7
333;47.75;242.77;0.15;3.49;49.26;2160.35;0.26;3.62
334;49.4;194.76;0.1;4.05;35.73;1636.29;0.41;1.54
335;55.53;463.82;0.08;4.36;99.78;23.34;0.99;0.06
336;53.39;322.39;0.08;3.95;44.11;1874.81;0.38;1.61
337;59.12;171.96;0.03;5.43;50.29;1858.97;0.26;3.59
338;54.24;180.31;0.08;4.09;37.75;1349.93;0.27;3.46
339;54.7;419.0;0.06;4.37;52.69;4064.69;0.25;3.65
340;44.25;386.15;0.2;3.27;19.56;1548.51;0.56;2.05
341;53.17;259.83;0.07;4.25;35.76;1656.32;0.26;3.79
342;63.6;381.64;0.08;3.99;78.97;736.95;0.31;2.17
343;53.4;203.86;0.06;4.47;29.39;1229.11;0.27;3.41
344;59.81;317.15;0.05;4.99;42.29;2014.91;0.29;2.84
345;58.19;388.97;0.07;4.49;81.47;1222.86;0.26;3.81
346;50.48;195.75;0.07;4.42;44.16;1681.28;0.27;3.15
347;60.57;471.94;0.12;4.03;38.82;2436.73;0.28;2.89
348;59.74;625.73;0.05;4.64;52.84;4715.28;0.3;2.28
349;58.34;284.35;0.05;4.77;73.93;653.31;0.43;1.34
350;51.41;234.18;0.06;4.3;49.61;2213.28;0.19;3.54
351;46.99;162.73;0.08;4.22;70.27;266.6;0.26;3.06
352;54.49;366.65;0.1;3.52;34.98;1954.95;0.35;1.75
353;57.22;252.01;0.04;4.88;67.88;306.23;0.27;3.8
354;55.86;364.52;0.06;4.67;45.57;2839.9;0.26;3.34
355;54.13;190.82;0.08;4.12;29.84;1670.81;0.26;3.73
356;56.95;192.17;0.04;5.0;44.54;2409.09;0.26;3.7
357;58.52;211.09;0.05;4.69;72.0;331.88;0.5;1.0
358;54.8;124.98;0.11;4.08;60.02;3030.22;0.4;1.47
359;61.94;226.22;0.15;3.44;81.79;838.79;0.46;1.27
360;57.14;364.53;0.05;4.79;55.62;5805.65;0.47;1.19
361;45.51;315.47;0.09;4.24;85.66;1857.34;0.32;2.34
362;58.76;179.95;0.05;4.94;63.5;4074.31;0.5;1.0
363;59.85;492.63;0.07;4.26;43.98;2562.9;0.27;2.78
364;58.63;486.86;0.08;4.23;39.1;2602.9;0.38;1.81
365;55.3;362.52;0.06;4.79;54.15;4327.0;0.34;2.42
366;48.14;474.74;0.1;3.71;38.52;3020.2;0.28;3.08
367;51.06;604.72;0.1;4.12;65.97;3845.47;0.22;2.68
368;56.18;357.73;0.05;4.77;49.74;3572.77;0.27;2.94
369;49.35;197.25;0.07;4.4;85.48;1158.04;0.49;1.08
370;59.64;185.8;0.07;4.13;71.35;233.36;0.42;1.35
371;56.8;365.15;0.08;4.63;48.97;2291.12;0.26;3.8
372;54.14;271.09;0.07;4.16;84.15;1179.77;0.28;3.3
373;57.33;302.24;0.06;4.35;46.29;2577.67;0.27;3.2
374;50.86;318.05;0.09;4.1;32.1;2532.19;0.33;1.92
375;60.22;252.79;0.07;4.5;35.47;1794.6;0.26;3.73
376;53.47;485.13;0.06;4.57;71.53;2185.09;0.11;4.31
377;58.62;366.76;0.08;3.97;77.57;1087.68;0.28;2.8
378;52.26;199.21;0.07;4.33;37.29;1487.03;0.26;3.94
379;56.02;322.31;0.07;4.9;44.41;1614.14;0.26;3.86
380;65.18;625.58;0.06;4.39;63.48;8867.86;0.5;1.02
381;55.69;310.66;0.06;4.48;84.3;1257.95;0.36;2.39
382;56.18;290.98;0.05;4.63;37.77;2274.65;0.26;3.88
383;58.83;328.73;0.08;4.31;42.87;3816.71;0.27;3.3
384;62.79;140.15;0.05;4.69;49.48;1352.27;0.26;3.46
385;56.21;424.33;0.07;4.64;78.85;841.82;0.27;3.53
386;56.67;310.95;0.07;4.32;42.91;2067.32;0.38;1.71
387;53.09;202.31;0.07;4.21;70.85;349.86;0.29;2.86
388;66.37;204.66;0.06;4.37;40.02;2899.61;0.5;1.01
389;48.16;515.66;0.15;3.28;85.62;1287.02;0.52;1.83
390;53.06;224.79;0.06;4.98;44.93;2024.31;0.46;1.37
391;55.85;200.09;0.07;4.3;41.52;1251.05;0.26;3.87
392;61.87;354.05;0.04;4.99;38.98;2516.36;0.25;4.03
393;59.0;420.12;0.05;4.83;51.77;3038.04;0.27;3.22
394;55.32;300.89;0.07;4.4;32.73;1516.83;0.28;2.88
395;57.51;387.73;0.04;5.0;41.62;2218.12;0.25;4.06
396;53.37;196.62;0.06;4.39;43.07;1966.77;0.26;3.67
397;54.19;557.48;0.09;4.2;77.85;790.19;0.28;3.07
