DY
6216
12
c;cs;d;ds;e;f;fs;g;gs;a;as;b
464;1876;701;454;3566;257;2375;2231;494;1782;471;2843;297
465;1407;0;345;30;84;21;28;222;0;46;0;81
466;774;391;435;1663;40;234;978;164;173;7;594;171
467;180;11;135;0;2;236;16;0;0;119;187;83
468;408;181;127;503;25;131;226;75;330;21;69;76
469;213;776;1320;521;1270;10;666;37;403;1582;0;480
470;45;447;2349;30;639;21;432;27;182;2877;1;272
471;824;153;770;170;680;352;30;789;251;161;554;40
472;845;1316;81;1038;130;67;945;0;791;4;79;72
473;361;134;748;504;56;55;248;85;94;200;87;448
474;426;34;791;442;4;1545;791;64;58;135;1223;3
475;73;272;67;374;418;0;637;0;41;4;270;876
476;85;619;8;421;56;175;108;4;504;5;462;28
477;142;270;90;108;3;28;140;1;220;0;8;82
478;1059;1142;413;1391;65;568;1529;39;1512;17;1011;121
479;558;57;2114;51;52;74;292;150;3;96;88;167
480;63;288;775;0;765;0;359;287;0;604;0;340
481;1759;256;2091;88;1054;148;525;948;17;740;44;557
482;261;561;681;111;93;672;919;202;157;282;158;176
483;1205;8;535;2;123;59;4;384;213;44;218;63
484;1904;1713;108;783;399;1647;789;197;405;118;1734;511
485;1842;15;472;343;219;443;2554;455;31;49;78;74
486;330;9;525;29;105;11;308;672;44;135;10;271
487;42;713;311;599;451;20;4277;14;167;327;1184;1345
488;637;86;1360;32;481;169;467;501;12;1225;6;30
489;603;676;1284;728;358;473;789;355;154;610;510;424
490;420;179;423;563;71;388;259;349;366;71;482;131
491;562;196;321;567;110;361;272;167;92;145;1096;413
492;562;105;1209;11;454;41;784;332;5;343;31;229
493;1260;363;689;1;870;190;906;1463;127;938;43;1106
494;489;1482;586;444;292;6;876;15;302;650;225;723
495;179;133;1213;17;648;0;327;22;32;629;6;424
496;1945;48;2019;73;216;920;679;905;10;805;706;8
497;932;37;493;14;269;192;98;638;7;350;29;107
498;155;518;321;125;713;31;417;11;566;373;83;360
499;952;42;341;31;164;345;310;495;13;107;34;71
500;608;1087;2126;2;958;119;1693;98;220;2389;9;758
501;486;245;673;173;329;239;711;266;149;465;346;269
502;789;1112;681;1025;599;9;1306;13;1011;8;172;482
503;219;428;1005;57;511;610;1017;398;0;1206;75;645
504;13;166;913;42;309;0;581;2;61;412;9;128
505;433;11;1135;75;947;31;219;782;1;435;11;600
506;375;277;118;805;0;51;245;59;121;2;824;8
507;1306;480;909;1408;106;908;541;837;220;153;658;203
508;751;584;58;601;41;863;193;355;438;221;704;324
509;261;417;1098;74;594;37;691;684;310;823;59;763
510;222;1;399;14;48;2;126;542;0;4;8;231
